pageName,pattern,depth,layout,hasLargeImage,causesLayoutShift,slowClickHandler,deepComponentTree,bulkDOMNodes,slowNetwork,expensiveEffects,largeJsonState,LCP,FID,CLS,TBT,renderTime,jsBundleSizeKB,hasJank,imageLoadTime,label
propdrillingTest1,prop-drilling,3,column,True,True,True,False,False,True,True,False,8321.578950000001,6041.0,0.16551897374964575,6494.0,8618.836058027877,9.8603515625,True,0,slow
propdrillingTest2,prop-drilling,4,row,True,False,True,False,False,False,True,False,12421.826400000002,10000.0,0.0,10427.0,6525.669323965139,10.734375,True,0,slow
propdrillingTest3,prop-drilling,5,column,False,False,True,True,False,False,True,False,12516.00115,10000.0,0.0,10377.0,12450.231062028899,12.4931640625,True,0,slow
propdrillingTest4,prop-drilling,2,row,False,False,False,True,False,True,False,True,1999.1341,428.0,0.03648964557199096,491.0,2573.2079800152205,6.634765625,True,0,slow
propdrillingTest5,prop-drilling,3,column,True,True,False,False,False,False,False,False,2369.716,417.0,0.22967141049049505,491.0,1576.3866600356819,10.4443359375,True,0,slow
propdrillingTest6,prop-drilling,4,row,True,False,True,True,True,False,True,False,12440.676,9999.999999999998,0.0003622509204558734,10586.999999999998,6486.997677470614,11.0302734375,True,0,slow
propdrillingTest7,prop-drilling,5,column,False,False,False,True,False,False,True,True,12665.5902,10000.0,0.0,10375.0,7835.255873950118,13.0166015625,True,0,slow
propdrillingTest8,prop-drilling,2,row,False,False,False,True,False,True,True,False,9993.9136,8010.0,0.04137903928662566,8356.0,3393.645095978251,6.9287109375,True,0,slow
propdrillingTest9,prop-drilling,3,column,True,False,True,False,False,True,False,False,2210.5840000000003,461.0,0.0,454.9999999999998,948.634569951868,11.0322265625,True,0,slow
propdrillingTest10,prop-drilling,4,row,False,False,False,False,False,True,False,False,2127.90965,420.0,0.0,475.0,911.0878520674514,11.322265625,True,0,slow
propdrillingTest11,prop-drilling,5,column,False,False,False,False,True,False,True,False,12758.617999999999,10000.0,0.0,10416.0,12561.393011984239,14.4814453125,True,0,slow
propdrillingTest12,prop-drilling,2,row,False,False,False,False,False,False,False,False,2211.2882,437.0,0.0,429.0,929.0384160050202,7.451171875,False,0,fast
propdrillingTest13,prop-drilling,3,column,False,False,False,False,False,False,True,False,8379.55955,6058.0,0.0,6495.0,7869.937996207398,10.1513671875,True,0,slow
propdrillingTest14,prop-drilling,4,row,False,False,False,True,False,False,False,False,2302.09055,423.0,0.0,392.0,897.7225079805469,8.3251953125,False,0,fast
propdrillingTest15,prop-drilling,5,column,False,False,False,False,False,False,False,True,2921.4980000000005,430.0,0.0,468.0,1733.4824159926034,15.36328125,True,0,slow
propdrillingTest16,prop-drilling,2,row,False,False,False,True,False,False,False,False,2571.528,443.0,0.0,497.0,1421.3908962035664,12.14453125,True,0,slow
propdrillingTest17,prop-drilling,3,column,True,False,False,False,True,False,False,False,2065.4698000000003,429.0,0.0,611.0,1425.0767240506555,7.8046875,True,0,slow
propdrillingTest18,prop-drilling,4,row,True,True,False,False,False,True,True,True,12265.8434,10000.0,0.09007701109012045,10341.0,6887.262090010147,10.4423828125,True,0,slow
propdrillingTest19,prop-drilling,5,column,False,False,True,True,False,False,False,False,2516.768,431.0,0.0,432.0,1574.7604839864016,11.3203125,True,0,slow
